,date,open,close,high,low,volume,code
466,2019-12-03,2869.88,2884.7,2884.86,2857.32,123778742.0,sh000001
467,2019-12-04,2876.91,2878.12,2882.5,2869.42,125543653.0,sh000001
468,2019-12-05,2886.52,2899.47,2902.0,2885.08,143163096.0,sh000001
469,2019-12-06,2902.28,2912.01,2912.01,2894.75,134128878.0,sh000001
470,2019-12-09,2914.46,2914.48,2919.59,2905.25,160796527.0,sh000001
471,2019-12-10,2908.94,2917.32,2919.2,2902.79,170123998.0,sh000001
472,2019-12-11,2922.6,2924.42,2928.26,2915.0,165541087.0,sh000001
473,2019-12-12,2926.34,2915.7,2926.34,2913.48,151760804.0,sh000001
474,2019-12-13,2937.78,2967.68,2969.98,2935.85,211978585.0,sh000001
475,2019-12-16,2970.97,2984.39,2984.64,2958.71,211862119.0,sh000001
476,2019-12-17,2985.26,3022.42,3039.38,2982.5,293032254.0,sh000001
477,2019-12-18,3021.47,3017.04,3033.23,3011.72,244089691.0,sh000001
478,2019-12-19,3017.15,3017.07,3021.42,3007.99,208624264.0,sh000001
479,2019-12-20,3019.64,3004.94,3027.48,3002.26,215075755.0,sh000001
480,2019-12-23,2999.04,2962.75,3009.34,2960.44,205716617.0,sh000001
481,2019-12-24,2965.83,2982.68,2983.82,2960.68,163030250.0,sh000001
482,2019-12-25,2980.43,2981.88,2988.29,2970.66,175654028.0,sh000001
483,2019-12-26,2981.25,3007.35,3007.35,2980.4,182440426.0,sh000001
484,2019-12-27,3006.85,3005.04,3036.11,3003.63,247102779.0,sh000001
485,2019-12-30,2998.17,3040.02,3041.4,2983.34,248066530.0,sh000001
486,2019-12-31,3036.39,3050.12,3051.68,3030.51,217429022.0,sh000001
487,2020-01-02,3066.34,3085.2,3098.1,3066.34,292470208.0,sh000001
488,2020-01-03,3089.02,3083.79,3093.82,3074.52,261496667.0,sh000001
489,2020-01-06,3070.91,3083.41,3107.2,3065.31,312575842.0,sh000001
490,2020-01-07,3085.49,3104.8,3105.45,3084.33,276583111.0,sh000001
491,2020-01-08,3094.24,3066.89,3094.24,3059.13,297872553.0,sh000001
492,2020-01-09,3082.64,3094.88,3097.33,3080.13,243435649.0,sh000001
493,2020-01-10,3102.29,3092.29,3105.22,3081.4,210442462.0,sh000001
494,2020-01-13,3091.49,3115.57,3115.57,3075.38,210621004.0,sh000001
495,2020-01-14,3120.67,3106.82,3127.17,3105.6,229973769.0,sh000001
496,2020-01-15,3103.17,3090.04,3107.94,3082.04,202313023.0,sh000001
497,2020-01-16,3095.73,3074.08,3096.37,3070.88,203375475.0,sh000001
498,2020-01-17,3081.46,3075.5,3091.95,3067.25,190304299.0,sh000001
499,2020-01-20,3082.11,3095.79,3096.31,3070.48,210493341.0,sh000001
500,2020-01-21,3085.79,3052.14,3085.79,3051.23,234830739.0,sh000001
501,2020-01-22,3038.49,3060.75,3069.25,3006.27,223852865.0,sh000001
502,2020-01-23,3037.95,2976.53,3045.04,2955.35,272763234.0,sh000001
503,2020-02-03,2716.7,2746.61,2766.58,2716.7,215912103.0,sh000001
504,2020-02-04,2685.27,2783.29,2786.16,2685.27,364046200.0,sh000001
505,2020-02-05,2792.37,2818.09,2842.74,2778.86,309761823.0,sh000001
506,2020-02-06,2826.89,2866.51,2876.59,2807.61,316392142.0,sh000001
507,2020-02-07,2858.93,2875.96,2875.96,2838.77,309479642.0,sh000001
508,2020-02-10,2860.5,2890.49,2891.85,2851.05,294929784.0,sh000001
509,2020-02-11,2894.54,2901.67,2913.82,2882.24,269168335.0,sh000001
510,2020-02-12,2895.56,2926.9,2926.9,2892.42,248733429.0,sh000001
511,2020-02-13,2927.14,2906.07,2935.41,2901.24,274804844.0,sh000001
512,2020-02-14,2899.87,2917.01,2926.94,2899.57,250650627.0,sh000001
513,2020-02-17,2924.99,2983.62,2983.64,2924.99,313198007.0,sh000001
514,2020-02-18,2981.41,2984.97,2990.6,2960.78,311665913.0,sh000001
515,2020-02-19,2979.52,2975.4,2998.27,2971.82,315141151.0,sh000001
516,2020-02-20,2981.88,3030.15,3031.37,2968.45,345732881.0,sh000001
517,2020-02-21,3022.25,3039.67,3058.9,3020.14,364557276.0,sh000001
518,2020-02-24,3027.89,3031.23,3042.18,3007.36,370430044.0,sh000001
519,2020-02-25,2982.07,3013.05,3016.95,2943.72,441622762.0,sh000001
520,2020-02-26,2978.42,2987.93,3028.78,2974.94,469049552.0,sh000001
521,2020-02-27,2992.49,2991.33,3009.46,2980.48,350523658.0,sh000001
522,2020-02-28,2924.64,2880.3,2948.13,2878.54,401216914.0,sh000001
523,2020-03-02,2899.31,2970.93,2982.51,2899.31,367333369.0,sh000001
524,2020-03-03,3006.89,2992.9,3026.84,2976.62,410108047.0,sh000001
525,2020-03-04,2981.81,3011.67,3012.0,2974.36,353338278.0,sh000001
